,title,synopsis,avg_rating,published_date,review,rating
24,When I'm Her,"How far would you go to get even with the woman who ruined your life?In this electrifying thriller, a young woman gets everything she’s ever wanted—and everything she doesn’t—when she swaps bodies with her sworn enemy.",3.94,"['March', '26,', '2024']","The Revolutionary Marketing:Traditional “couples” and “family” therapy often fails because it fails to create empathy-But now there is a new device called “The Empathyzer-a pair of bracelets which look a lot like smart watches-one worn by each person-allowing you to swap bodies and literally walk in the other person’s shoes.When Mary gets an internship at the company who created “The Empathyzer” she decides to sneak a set out of the building, and give it a try with her best friend and roommate, Elizabeth.At first the two girls are just having a bit of fun! (Freaky Friday!)But then something goes horribly wrong on Halloween, seven years ago….Told in the past and the present the chapters are labeled: Mary (Elizabeth) and Elizabeth (Mary) the first name being the actual person and the second name in parentheses, being the body they are inhabiting.I was intrigued by the premise and IF the author had created a speculative World where we met several pairs of people wearing the Empathyzers with mixed results, I probably would have enjoyed the book. (Think John Marrs)BUT, unfortunately, despite the use of this device to achieve the “desired outcome” this was really just ANOTHER story about a buried SECRET, BETRAYAL, and REVENGE, and not one that I enjoyed. I was looking for more of a Sci Fi style, but if you love revenge stories perhaps you will have better luck with this one?Trigger Warnings thoughtfully provided by the author include: physical violence, gun violence, sexual assault, domestic violence, gaslighting, and drug use.I loved the author’s debut “The Other Me” a 5 ⭐️ read for me-so I was very disappointed that her sophomore effort was a MISS.Review for “The Other Me” : https://www.goodreads.com/review/show...2.5 ⭐️ for this oneAVAILABLE NOWThank You to Berkley for the gifted ARC provided through NetGalley, in exchange for an honest review!",3.0
25,The World That Was,,4.45,"['March', '29,', '2024']",3.5 stars. I have mixed feelings about this book. Sometimes I loved it and sometimes I didn’t. I enjoyed the main character and reading about her journey. But sometimes it dragged too slow but I couldn’t stop reading. I had to know how it ended. The cover is 5 stars amazing. Just gorgeous! I will def keep an eye on this author and patiently await to see what he releases next.,3.0
26,Greatest Hits,,4.27,"['March', '26,', '2024']","GREATEST HITS by Harlan EllisonPublished: March 26,2024 by Union Square & CoPage Count: 496  The title says it all. Collected into one volume are hand-picked short story gems over the course of Harlan Ellison’s prolific career. If not Award Winners ( like Hugo, Nebula, Bram Stoker) they have been nominated for these awards. Presented by an insightful foreword by Neil Gaiman, these hand picked stories are culled from his prestigious output by his friend and executor of his estate, the wonderful writer, J Michael Straczynski. Horror writer, Casandra Khaw provides a wonderful introduction. This collection is an excellent starting point for new readers, as well as old fans, who want to revel once again in his amazing oeuvre. There are no stinkers here … all are great to amazing.  The following few are some of my personal favorites:“I Have No Mouth And I Must Scream” (1966) …. An amazing prediction and discussion of current thoughts and disputes regarding artificial intelligence“Mefisto In Onyx” (1993) … a mind reader applies his skill to a mass murderer”“Jeffty Is Five” (1977) …. He never grows old and has the ability to access on his radio current episodes of programs cancelled a long time ago“Paladin of the Last Hour” (19896) …. the story source of a great episode of The Twilight Zone“Repent Harlequin, Said TheTicktockman” (1966) …. In a dystopian world “wasting time” is a capital offense Ellison was a prolific writer of speculative fiction, who carefully chose his words … often to express his opinions regarding both social and political issues. He frequently veered into many controversial and current issues; censorship, misogyny, racism, corporate greed, exploitation of artists, and even political corruption. His words were sometimes whimsical, but always vibrant and thought provoking. This is an excellent primer to explore his genius. Thanks to NetGalley and Union Square & Co for providing an Uncorrected Proof in exchange for an honest review. Harlan is sorely missed for his many insightful stories.",5.0
27,The First State of Being,,4.23,"['March', '5,', '2024']","Dear Readers,I love all my characters, but 12-year-old Michael Rosario has my whole heart. He loves his Mama, a single mother who works three jobs. He loves his babysitter, Gibby (but in a very different way, of course!) And he loves Mr. Mosley, the maintenance man at his apartment complex who has become his best friend.Michael is also very worried about Y2k, which is just around the corner. If only he knew the future, he wouldn't have to worry so much. But there's no chance that would ever happen ... until Ridge appears. I hope you love Michael as much as I do. And remember: It's always Michael, never Mike. :)Erin",
28,Alien Clay,,4.12,"['March', '28,', '2024']","Imagine if Jeff Vandermeer's Annihilation and Ursula K Le Guin's The Word For World is Forest had a baby. That's pretty damn close to what we got here with Alien Clay, and I adored it.This is a book about divergent evolution, symbiotic relationships in nature, revolution and uprising and yet, at the same time, becoming a part of the machine in which you live your life.It's full to the brim with Tchaikovsky-isms, with a liberal dose of body horror and all sorts of creepy alien insects and creatures.I'll admit it did take me a little while to get with the first-person perspective - it felt a little clunky and unnecessary at first, but it ended up working brilliantly and it had completely grown on me by the quarter way mark.
""Sometimes you go your whole life not rocking the boat and they throw you over the side anyway.""
Tchaikovsky... well, the man is a genius. A rockstar. This book is fantastic. Thank you Pan Mac for the proof. What an joy it's been.",5.0
29,Meet Me in the Fourth Dimension,,4.27,"['March', '12,', '2024']","Not everything is an omen, Crosby. Not everything means something.Meet Me in the Fourth Dimension is a unique upper YA story told in verse about convictions so strong that they eventually lead to family and friends turning against each other and, in this case, believing in the end of the world. It reminded me sometimes of We Are the Ants by Shaun David Hutchinson (one of my favorite YA books ever), even though both stories are way different. Crosby is an anxious, shaky mess, distrustful, and balancing on the edge of reality and deeply held convictions. She believes firmly in witchcraft, and when her best friend Shannon buys earrings she likes (from Malachite), and Crosby tries to convince her those earrings are not the right match for her, they fall apart. Then, she’s in college and watches at a party through a telescope. When she sees the rogue dwarf planet Malachite, Colby is convinced Sharon’s earrings are a warning and that the planet is a message for something bad to happen.  The writing is beautiful and poetic and so fitting for a story like this. The characters are fully developed, and the descriptions are so vivid, I felt I was there, but even without them, I could read this book only for the writing, immersing myself in the words and the sentences, the cadence, and the rhythm. It’s soft and atmospheric while Crosby’s anxiety and the eeriness of her beliefs bubble under the surface but emerge more and more. Meet Me in the Fourth Dimension is a fantastic debut, and I can’t thank Rita Feinstein enough for asking me if I wanted to read an ARC. And thank you, Pagestreet YA, for sending me this ARC! Follow me on Instagram",4.0
30,The Midnight Library,"Between life and death there is a library, and within that library, the shelves go on forever. Every book provides a chance to try another life you could have lived. To see how things would be if you had made other choices . . . Would you have done anything different, if you had the chance to undo your regrets? A novel about all the choices that go into a life well lived.",4.00,"['August', '13,', '2020']","I liked this book until it suddenly decided to moonlight as a self-help manual, replete with messages that would look great and profound on an Instagram post next to a well-posed cup of coffee with those foam pictures on top. Or embroidered on a pillow — pick your poison.
 “She realised that she hadn’t tried to end her life because she was miserable, but because she had managed to convince herself that there was no way out of her misery.”
And these messages have the subtlety of a sledgehammer. Forget the readers figuring it out for themselves — no, the moral and the take-home points will be (didactically) in your face, loud and clear, even if it’s awkward and clunky and stops narration in its tracks. Case in point:
 “As she switched to freestyle she realised it wasn’t her fault that her parents had never been able to love her the way parents were meant to: without condition.”
Some of these platitudes would also feel right at home in the Hallmark holiday special movie:
 “And … and the thing is … the thing is … what we consider to be the most successful route for us to take, actually isn’t. Because too often our view of success is about some external bullshit idea of achievement – an Olympic medal, the ideal husband, a good salary. And we have all these metrics that we try and reach. When really success isn’t something you measure, and life isn’t a race you can win.”
And I’m just not big on self-help or motivational books. I find most of them cheesy and corny and really awkward and often so painfully earnest that I just can’t take them seriously. It’s just me - I guess I don’t have the right personality to appreciate them. And so I was not too happy with the turn the story took.—————

The premise was interesting, and the beginning actually had me captivated. It’s a story of a woman who’s had her final straw - a whole bunch of final straws, really - and when gripped by the oppressive darkness of depression decides to commit suicide. 
 “Maybe she was just really crap at it. At life.”“She wanted to have a purpose, something to give her a reason to exist. But she had nothing.”
This may be why so many of even middle-aged people like reading Young Adult books — there’s something quite comforting about seeing a brand-new person, right at the cusp of adulthood, when all the possibilities are still there and no clocks have yet started ticking, and there is enough time and energy to regroup and move on to the road not yet taken. But Nora is thirty-five, an age considered way too late (especially for women, with that damn idea of a biological clock) to not have it all figured out. It’s not the time (at least for women) when the world is considered to be your oyster — it’s the time when you really are expected to have your shit together. And Nora most certainly does not. “Well, don’t hang about. Tick-tock tick-tock”, says a well-meaning stranger in that unasked-for-but-nonetheless-given bit of advice.
 “When she thought about it – and increasingly she had been thinking about it – Nora was only able to think of herself in terms of the things she wasn’t. The things she hadn’t been able to become. And there really were quite a lot of things she hadn’t become.”
In that moment between life and death Nora finds herself in a library full of books that are the alternate lives she could have had — lives that would have stemmed from one different choice, one different decision. (Jo Walton’s quiet gem My Real Children had a similar premise, and it was wonderful). And the point is - once Nora finds a perfect life for herself in this endless tapestry of parallel and “perpendicular” lives, she can choose to stay in it and live it as her own.The logical place to start is to revisit all those regrets that weigh her down. And Nora has quite a few of those.
“Between life and death there is a library,’ she said. ‘And within that library, the shelves go on for ever. Every book provides a chance to try another life you could have lived. To see how things would be different if you had made other choices … Would you have done anything different, if you had the chance to undo your regrets?”
And then, after a great beginning (which was not always easy to read given how well Haig was able to capture the snowballing depressing crap happening to Nora) we careen right into the didactic self-help book where each parallel life exists to teach Nora a lesson that sooner or later will be unambiguously spelled out so that we don’t get it wrong.
 “She realised, in that moment, that she was capable of a lot more than she had known.”
And if you had any doubts about the ending, doubt no more. It ends exactly like anyone would have predicted at the beginning of that self-help turn, except it’s even more unrealistically saccharine than I even dared to anticipate. It takes a turn into that meaningless “let you be you” drivel that seems to say so much while actually saying very little. It becomes the cotton candy of advice - sweet but of little value.


 “She didn’t need a vineyard or a Californian sunset to be happy. She didn’t even need a large house and the perfect family. She just needed potential. And she was nothing if not potential. She wondered why she had never seen it before.”
And all that relentless hammering of the “profound” message into to readers’ psyche interspersed with tired cliches makes the whole book eventually seem bland and repetitive and tedious and, honestly, a bit trite. 
“I mean, it would have made things a lot easier if we understood there was no way of living that can immunise you against sadness. And that sadness is intrinsically part of the fabric of happiness. You can’t have one without the other.” 
2.5 stars. I did not sign up to read a self-help manual.But my opinion is decidedly in the minority — maybe I’m just a crusty soulless cynic. Oh well.————
“You don’t have to understand life. You just have to live it.’Nora shook her head. This was a bit too much for a Philosophy graduate to take.”It’s a bit too much for this science graduate over here, too.——————Also posted on my blog.",2.0
31,Shadow Me,,4.00,"['March', '5,', '2019']","Sooo I knew I loved Kenji Kishimoto..... but this book made me realize that I would rip my fucking heart out and put it on a platter for Kenji Kishimoto. I LOVED this installment!!!! I think this book was the perfect balance of exploring Kenji's voice, getting his funny inner monologue, learning more about the world, and seeing the events of Restore Me from his eyes. I wouldn't necessarily call it a bridge book between books 4 and 5 (honestly, these chapters could have been thrown in at the end of Restore Me because I actually think they better describe the events than Warner and Juliette did), but I still had SO much fun reading it and was laughing and gasping at all the new information and world building and conversations that we didn't see in Restore Me. I have a TON more to say about this with theories and new info reveals but it's 4:30 AM and I've been making my way through this book since midnight so my brain is just a big happy mush in my skull because I love Kenji so much and I adored this novella.Old reviewCONFIRMED KENJI POV!!!!!!!! I'm so stoked. Honestly, I wish this came sooner instead of just a month before Defy Me, but I'm not about to complain about more content. Eeeeeeeep I hope we see Warner in this and he and Kenji are stuck in a cell together and thriving and scheming to get Juliette back and skhjdflgbhfdkgdblhgdkfl IM EMO I WANT IT SO BAD",5.0
32,The Institute,,4.20,"['September', '10,', '2019']","KING of the writers just released a book and I started my Single ladies/Staying alive combination happy dance, grabbed it into my hands and started my ritual I do when I start a new King book. My ritual is simple. I pray for several things starting with better eyesight (Dear King always like to write encyclopedic sized books which I also used in my training sessions. I lift “The Stand” and “Dark Tower series” 50 times till my arms turned into jellies but now I got an amazing look. Some people confused me with woman wrestlers! Damn it!) and my healthy soul (probably I sold to the devil because I’m biggest fan of his fantastic villains. Randal Flagg, Jack Torrence, George Stark, Blaine the Mono were my dream quadruple! I visualized them start villain poker tournaments!) and healthy throat and ears! ( I was 10 when I started to read my first king Book and I was at my school chorus practice, hiding my book in my music notes but instead of singing that day, I was reading and then I started screaming. I terrorized my friends and teachers that day! So I found my life mission already, thanks to Mr. King) As a summary, it is the toughest thing to start a new King book because he’s definitely my favorite writer. In 30 years, I left the country I was born, I cut drinking Coke ( because I moved to NYC and its Coke tastes the worst!), I stopped eating cakes instead of I addicted to Chardonnay and cupcakes! I got married and I resigned from my bank manager job to be screenplay writer (Yes! Everybody knows something is wrong with me!) after moving to L.A, learned fake smiling and not to scream when I see at a walking talking over tanned and botoxed Barbie doll. So many things changed, life molded me, tormented me, punched me but also gave so many gifts to me. But ONLY ONE THING in 30 years didn’t change: I resumed reading KING books and loved them wholeheartedly. So becoming objective and not putting your fingers on your keyboard to give gazillion FIVE SHINY STARS is one of the hardest test I have to pass!   Let's go back to talk about this book: in first few pages, I thought I started the wrong book because it seemed like Tim Jaimeson’s story, was ex officer at Sarasota and left his job, left his seat to a FBI agent, hitchhiking and found himself DuPray applying “Night Knocker” job. His story is hooked me up from the beginning. I thought I read another plot but that’s okay, I loved this story so much reminded me of old school King books.   But then next chapter, everything changed and we’re introduced to highly intelligent, gifted Luke’s story and his kidnapping. One night he found himself at the copied version his own room (but the copiers might have forgotten to add windows!) And the wonder kids of INSTITUTE story began!  I felt like somebody dragged Mr. King away from his keyboard while he’s writing this book and Duffer Brothers sat on his seat to create crueler version of Stranger Things with meaner adults and gifted but a little unlikable kids version. (I only resonated with Avery but he’s not Dustin!)  There are too many references to King’s older works on this book. Even the twins reminded you of Shining’s creepy twins Lisa and Louise Burns!) There are too kind of extraordinary kinds here: The kids who are telepaths or telekinetic! To differentiate them they have to find the ones seeing the dots! We don’t have Carrie White but Avery’s character was a little reminded us Danny Torrence who has its shining.  I missed his characters’ connections and growing friendship I’ve read on other books (his story “Body”, It, even at Dark Tower series was about different people’s connection) I found this one a little flat, dull, more artificial. And the vulgarity, harshness the kids endured and the illegal, ruthless test methods the institute crew applied on them DISTURBED me so much. I can handle the violence. I’m die-hard Tarantino fan but when it comes to innocent kids, this kind of torturing methods churned my stomach! ( I wish I could puke on all the villains of the book!) This time their methods put me on edge and I made a waterboarding list instead of slapping because other villains of the books seemed like Disney characters comparing with these nasty scumbags! Of course honor member of my hating list is starting with Mrs. Sigsby (what kind of last name is this?) and Tony! I think I should put all the crew members of institute including Maureen because snitches are always the worst!  As a summary: because of its longevity, it’s not a fast reading, but it’s still intriguing, you never got bored. It’s quite a page-turner, riveting, nerve bending, surprising book. Even though there are too many references of his older books, writing was a little different from King’s usual style and the things the little kids fought against made me sad and frustrated. So I decided to stick with shiny four stars! It’s still a remarkable, smart-written, good book but not one of the best works of KING OF WRITERS!Okay, now I started to FLOAT! I think Mr. King might feel I cut the last star! I wish I drank my last sip of Chardonnay before being punished. Well, all work no play make Nily dull person!bloginstagramfacebooktwitter",4.0
33,Annie Bot,,3.83,"['March', '19,', '2024']","this was such a fascinating character study that examines womanhood, autonomy, control, and emotionally abusive relationships. it reminded me of my first relationship where i lacked a sense of identity, received criticism when i showed humanity, and had a constant fear of displeasing him. big oof.",4.0
34,Sea of Tranquility,"A novel of art, time travel, love, and plague that takes the reader from Vancouver Island in 1912 to a dark colony on the moon five hundred years later, unfurling a story of humanity across centuries and space.",4.08,"['April', '5,', '2022']","“Isn’t that why we’re here? To leave a mark on wilderness?”
I was one of the few readers (or so it seemed) left underwhelmed by Mandel's Station Eleven when I read it back in 2014. The hype and gushing reviews seemed at odds with the very okay novel I read, which is why I passed on reading The Glass Hotel.Now I'm wondering: should I go back and read the author's other stuff? Because I have to admit I found Sea of Tranquility riveting and beautiful.From what I remember, it is not stylistically that different to Station Eleven-- both are quiet, slow-build stories-- but I found the characters here fascinating and the exploration of both the simulation theory and what, if anything, that means for humans, deeply moving. We begin with several chapters (or ""Parts"") of seemingly unrelated characters and stories, each set in a very different time and place-- Edwin arrives in Canada in the year 1912, Mirella goes to speak to the brother of an estranged old friend in 2020 NYC, Olive visits Earth for a book tour in 2203, scientists investigate the theory that the world is a simulation in 2401. Similar motifs appear in each story and it is clear they are linked, but how?As the stories weave together and overlap, we begin to see the recurring theme in each one until it all comes together in a big picture at the end.I really enjoyed it. There is this nostalgic quality to Mandel's writing that made me feel like I was revisiting places I'd been long ago, even though I obviously hadn't. I don't know if all the pandemic subplots were strictly necessary and I think the author could have achieved the same goal without that being a recurring theme, but this is a small complaint. The novel touches upon the big questions like the meaning of it all and the nature of reality, as well as exploring the human obsession with the end of the world:
“I think, as a species, we have a desire to believe that we’re living at the climax of the story. It’s a kind of narcissism. We want to believe that we’re uniquely important, that we’re living at the end of history, that now, after all these millennia of false alarms, now is finally the worst that it’s ever been, that finally we have reached the end of the world.”
And, in the end, it all seems to be saying that maybe there is no meaning, maybe none of it's real, whatever that means, maybe the world is always ending, and maybe the real question is: does it even matter?",4.0
35,A Psalm for the Wild-Built,,4.28,"['July', '13,', '2021']","If this is not your first Becky Chambers book, you know what to expect. Ever since her first novel The Long Way to a Small, Angry Planet she’s been writing what I can only call “comfort science fiction/ cozypunk”, showing the worlds where you would really love to live, the worlds that learned from mistakes of the past and moved on in better directions, the worlds mostly inhabited by genuinely nice people, with everything having a feeling of an unironically happy hippie commune, complete with earnest conversations about life and its meaning.And that’s what we get here, in a tiny contemplative novella whose dedication simply states, “For anybody who could use a break.”
 “This had been the way of things since the Transition, when the people had redivided the surface of their moon. Fifty percent of Panga’s single continent was designated for human use; the rest was left to nature, and the ocean was barely touched at all. It was a crazy split, if you thought about it: half the land for a single species, half for the hundreds of thousands of others. But then, humans had a knack for throwing things out of balance. Finding a limit they’d stick to was victory enough.”
  
It’s a story of a utopia, a planet where humanity left behind the Factory Age and moved on to sustainable and highly spiritual (as opposed to dogmatically religious) life in harmony with nature, with dwellings made of biodegradable materials, half a planet left for wilderness with which you do not interfere, and existence of tea monks who travel from scenic village to scenic village setting pop-up tea shops where one can drink their sorrows away with herbal teas. Because people will still have existential crises and will get hit with wanderlust even in the most inconvenient times.
 “I’m tired,” Dex said softly. “My work doesn’t satisfy me like it used to, and I don’t know why. I was so sick of it that I did a stupid, dangerous thing, and now that I’ve done it, I don’t know what to do next. I don’t know what I thought I’d find out here, because I don’t know what I’m looking for. I can’t stay here, but I’m scared about going back and having that feeling pick right back up where it left off. I’m scared, and I’m lost, and I don’t know what to do.”
In this world a long time ago robots somehow gained consciousness and parted ways with humanity to live in the wilderness, respecting each other’s choices and agency. The departure of robots apparently becomes a catalyst for the betterment of humanity. And now for the first time a human tea monk Dex (on a quest fueled by ennui and a longing for purpose) and a robot Splendid Speckled Mosscap (on a journey to find out about humans and what makes them tick) meet and engage in philosophical discussions and debates and lay foundations for a beautiful friendship.  
This entire novella is a philosophical dialogue in the setting of ecological paradise, a cozy version of Plato’s symposium held in the wilderness with some tea.
 “You’re an animal, Sibling Dex. You are not separate or other. You’re an animal. And animals have no purpose. Nothing has a purpose. The world simply is. If you want to do things that are meaningful to others, fine! Good! So do I! But if I wanted to crawl into a cave and watch stalagmites with Frostfrog for the remainder of my days, that would also be both fine and good. You keep asking why your work is not enough, and I don’t know how to answer that, because it is enough to exist in the world and marvel at it. You don’t need to justify that, or earn it. You are allowed to just live. That is all most animals do.”
This is not a story of survival or conflict or discovery. It is a story of dissatisfaction even with the most comfortable life in the most ideal world imaginable, the world which by any definition is a utopia — and not because of any inherent flaws in the utopia, not because every utopia harbors within it the seeds of dystopia, but purely because human spirit gets restless sometimes even in the best of circumstances, even in the world that I would give my left ovary to inhabit.You see, living in our current world that is not quite moving towards the lovely green utopia of Chambers’ planet, I do tend to view the world through less rose-tinted glasses, focusing more on survival and security as priorities and sidelining the finer things in life. But here we are a bit past that, those lucky bastards. Here they can afford to focus on spiritual pleasure and not on the basic needs.
 “Dex nodded at the ruined factory. “And the people who made places like this weren’t at fault either—at least, not at first. They just wanted to be comfortable. They wanted their children to live past the age of five. They wanted everything to stop being so fucking hard. Any animal would do the same—and they do, if given the chance.”
Yes, the questions Chambers raises are those “first world problems” that I’m usually the first one to want to shrug off — but they are very important to the human nature. When you have the luxury of having your basic needs met and comfort of security in life, the nagging feelings of dissatisfaction and desire for purpose or fulfillment or wanderlust will come to the forefront, because, as Dex notes, humans need more than just focus on survival alone — once that basic need has been fulfilled.
“Survival alone isn’t enough for most people. We’re more than surviving now. We’re thriving. We take care of each other, and the world takes care of us, and we take care of it, and around it goes. And yet, that’s clearly not enough, because there’s a need for people like me. No one comes to me hungry or sick. They come to me tired, or sad, or a little lost. It’s like you said about the … the ants. And the paint. You can’t just reduce something to its base components. We’re more than that. We have wants and ambitions beyond physical needs. That’s human nature as much as anything else.”
All in all, it’s a quietly optimistic, comforting, heartfelt book, focusing on the nuances of human soul in a very good world inhabited by very good people and robots. To complete the ambiance, I would have needed a hot cocoa and a warm cozy blanket on a pleasantly rainy day — but we are in the middle of a hot dry fiery California summer, so there goes that pleasant atmosphere.  
————And yet some things kept nagging at me, aided by that ever-present cynicism that tends to pop up at inconvenient moments.One was the robot character, Mosscap. It’s pretty indistinguishable from a human, with the same everything — speech patterns, logic, and even struggles with math and numbers. The subtitle of this new series - Monk and Robot — implies differences, and Mosscap itself states that “We don’t have to fall into the same category to be of equal value” — but to me they were reading as almost indistinguishable in voice and behavior, and that left me a bit unsatisfied. The other issue was the ending — or the lack thereof, because this novella really should have been part 1 of a larger novel, perhaps the exposition at the beginning of a longer book. And tea. After “Ancillary Justice” series, I’m a bit twitchy when tea makes on-page appearance. Another one was the luxurious tease of this hope for the future. Because it just IS? We are told that the Transition happened from the grim Factory Age to this idyllic paradise, and my brain just keeps nagging at me about the implausibility of that given human nature and drives, and my inner cynicism starts running rampant — that cynicism that finds it a bit too cozy and luxurious to read about the world that might as well have come from a pretty concept picture of ecological paradise. There is a point where cozy and comforting becomes too much, and I felt that we are dangerously close to that boundary here. It’s a fable, I kept convincing myself, but my inner cynic kept muttering unpleasant remarks that would not be welcomed on planet Panga (hey, I just got it — Panga is pretty much “Pangaea”, right?).It feels like a dessert, a meringue that is soft and fluffy and will be very nice after a solid meat and potatoes course — but without that course not as satisfying. You gotta be in the right mood for it, and I don’t think I entirely was. I like my books with just a smidgeon more of teeth and bite, but that’s not Becky Chambers fault but mine entirely. Her book will be perfect for a perfect reader, and this time I wasn’t among them. Maybe I’ll feel less cynical next time.3.5 stars.  Less cynical among us will love it. 
“The robot thought. “I have wants and ambitions too, Sibling Dex. But if I fulfill none of them, that’s okay. I wouldn’t—” It nodded at Dex’s cuts and bruises, at the bug bites and dirty clothes. “I wouldn’t beat myself up over it.”Dex turned the mug over and over in their hands. “It doesn’t bother you?” Dex said. “The thought that your life might mean nothing in the end?”“That’s true for all life I’ve observed. Why would it bother me?” Mosscap’s eyes glowed brightly. “Do you not find consciousness alone to be the most exhilarating thing? Here we are, in this incomprehensibly large universe, on this one tiny moon around this one incidental planet, and in all the time this entire scenario has existed, every component has been recycled over and over and over again into infinitely incredible configurations, and sometimes, those configurations are special enough to be able to see the world around them. You and I—we’re just atoms that arranged themselves the right way, and we can understand that about ourselves. Is that not amazing?”
——————Also posted on my blog.——————My Hugo and Nebula Awards Reading Project 2022",3.0
36,Prophet Song,,4.14,"['August', '24,', '2023']","At first, I thought it would be better to wait a while before I write anything about Prophet Song (2023) by Paul Lynch, just to calm down a little and catch my breath, but then I realized that my ability to build coherent sentences about this reading experience might diminish over time. I devoured this novel in two days. It trapped my attention from the first sentence and ensnared me at once.Prepare to have your emotions wrapped around Paul Lynch’s finger and the strings will be pulled tighter and tighter with every page. The thing I found most impressive about this novel is its atmosphere. The tension keeps growing gradually and the feeling of menace is more and more suffocating. The word exhilarating in the blurb baffled me as I found Prophet Song one of the darkest and most depressing books I have ever read. It depicts the rise of totalitarianism resulting in civil war, seen through the eyes of a family with four children. The novel is set in Ireland at an unspecified time but judging from the technology the characters are using it is contemporary. Bertolt Brecht's motto about the dark times was a perfect choice: the novel protagonist, Eilish, is akin to Mother Courage, dealing with unimaginable traumas. She does her best to keep her family together against all odds. By the way, Mother Courage's son is called Eilif which sounds so similar to Eilish. Both Brecht and Lynch's portrayals of motherhood in the time of moral apocalypse are heart-wrenching.The relief coming from the fact that Prophet Song is a dystopian novel doesn't last long as there is nothing unrealistic about the plot: the nightmarish events could have happened anytime, anywhere. Some passages hit unsettlingly close to home:  The government has taken control of the judiciary by putting their own people in, that’s the nub of the problem, once you get your own people in you can do whatever you like. Sounds exactly like Poland at the moment.Maybe one year and a half ago I would have found Paul Lynch's vision of totalitarianism overdrawn but the war in Ukraine proves that it's not. I couldn't stop thinking of Ukrainian children while reading passages like this: She whispers to him though there are no words for a child this age, no explanation for what has been done and yet what the child will never recall from memory will always be known by him and he will carry it as poison in the blood.Some reviewers complain about the oddity of Paul Lynch's style which is quite unusual indeed. For me, it was definitely this novel's forte. It blends detailed realistic descriptions with dreams and snippets of prose poetry. Prophet Song crushed me almost physically. I owe it a sleepless night. Maybe the concentration of bleakness and darkness in this novel is exaggerated. Sometimes it felt overwhelming, almost insufferable. On the other hand, this book is a clear warning and warnings are seldom whispered or painted with watercolours. It doesn’t take a prophet to foresee that Paul Lynch’s novel will make it to the Booker shortlist and may not stop there.Pablo Picasso, Mother and Child, c. 1951.",5.0
37,Recursion,Memory makes reality.,4.16,"['June', '11,', '2019']","Congratulations for winning of best sci-fi category from goodreads choice awards 2020! This is one of my favorite books of the year! Five OMG I’m suffering from brain cells bleeding and explosion of my last standing grey cells, what the hell I just read and who am I ? stars!I know the drill but let me rephrase one more time! This is not an easy, soft, sunshine and rainbows reading! In my opinion people who are brave enough to dive into this journey should put themselves an IQ test and discover their cognitive skills. ( luckily I read the quantum physics for dummies before the beginning but I feel like I can be great cast for future dumb and dumber movie if they will ever produce the third installment)So this book is amazing combination of time traveling, alternated lifetimes, Minority Reports meet Groundhog Day versus Black Mirror and Back to the Future kinda fascinating science fiction crashes into thriller and romance starting with an effective and memorable suicide attempt scene. A woman suffers from FMS ( false memory syndrome) who thinks her child was being erased, her husband denied her existence so there was nothing better than jump and end her life. But she had small hope in her heart, her husband could come to rescue her but when he didn’t show up, she didn’t want to fight anymore and.... Yes, this book starts with jaw dropping scene and you’re hooked! It’s addictive, unputdownable, nerve damaging, exhausting ride! You wanna know what’s going to happen and think about yourself if I had a chance to save my loved ones by turning back and making my wrongs turn into rights, what would happen! Saving her daughter from the traffic accident, curing your mother’s Alzheimer disease, prevention of school shooting , saving soldiers from the terrorist attacks are just the samples writer show as in alternative realities that have possible to be changed! The difference of Recursion from Dark Matter might be romance parts because I really enjoyed Barry and Helena’s love story. Not only they fought to bring universe into the right pattern but also they fought to get back together to be each other’s final word, everlasting love, end game! This was thrilling, mind bending, provoking book! Dark Matters is going to be Netflix series and I’m already sure that as a brain numbing project, this book finds its place at big screen on near future!Highly recommended, smart, different, unique and exquisite book but not for everyone!bloginstagramfacebooktwitter",5.0
38,The First to Die at the End,,4.02,"['October', '4,', '2022']","lmao i finished this masterpiece and now i’ve been staring at walls for hours just thinking about what i just read.just like “they both die at the end” this prequel has multiple narrators but the main ones are Orion and Valentino. and they are some of the most real and deep characters. the timeline for their story is when Death Cast is being introduced and tried for the first time. we see a lot of doubt within almost every character for the trueness of the death cast system. like “does it actually work?” , “there’s gotta be errors in the system,” as many think. it was even more interesting reading from the pov of the death cast creator, Joaquin.just like TBDATE this one was emotional and bittersweet towards the end. tears soaking the page type of shit. i will say, i appreciated how this work wasn’t a repetition of TBDATE, it fully stands on its own as a unique story set in the death cast world. the writing is captivating. and obviously fans of TBDATE will love this but surprisingly i can also see people that didn’t like that book like this oneand side note but we get 1 Mateo and Rufus pov in this one and i fully trained my brain into believing that they’re still breathing alive and well 🤧🤧🤧",5.0
