,title,genre,description
189,The Inheritance Games,Mystery,"Avery Grambs has a plan for a better future: survive high school, win a scholarship, and get out. But her fortunes change in an instant when billionaire Tobias Hawthorne dies and leaves Avery virtually his entire fortune. The catch? Avery has no idea why -- or even who Tobias Hawthorne is.To receive her inheritance, Avery must move into sprawling, secret passage-filled Hawthorne House, where every room bears the old man's touch -- and his love of puzzles, riddles, and codes. Unfortunately for Avery, Hawthorne House is also occupied by the family that Tobias Hawthorne just dispossessed. This includes the four Hawthorne grandsons: dangerous, magnetic, brilliant boys who grew up with every expectation that one day, they would inherit billions. Heir apparent Grayson Hawthorne is convinced that Avery must be a conwoman, and he's determined to take her down. His brother, Jameson, views her as their grandfather's last hurrah: a twisted riddle, a puzzle to be solved. Caught in a world of wealth and privilege, with danger around every turn, Avery will have to play the game herself just to survive."
190,How to Solve Your Own Murder,Mystery,"For fans of Knives Out and The Thursday Murder Club, an enormously fun mystery about a woman who spends her entire life trying to prevent her foretold murder only to be proven right sixty years later, when she is found dead in her sprawling country estate... Now it's up to her great-niece to catch the killer. It’s 1965 and teenage Frances Adams is at an English country fair with her two best friends. But Frances’s night takes a hairpin turn when a fortune-teller makes a bone-chilling prediction: One day, Frances will be murdered. Frances spends a lifetime trying to solve a crime that hasn’t happened yet, compiling dirt on every person who crosses her path in an effort to prevent her own demise. For decades, no one takes Frances seriously, until nearly sixty years later, when Frances is found murdered, like she always said she would be. In the present day, Annie Adams has been summoned to a meeting at the sprawling country estate of her wealthy and reclusive great-aunt Frances. But by the time Annie arrives in the quaint English village of Castle Knoll, Frances is already dead. Annie is determined to catch the killer, but thanks to Frances’s lifelong habit of digging up secrets and lies, it seems every endearing and eccentric villager might just have a motive for her murder. Can Annie safely unravel the dark mystery at the heart of Castle Knoll, or will dredging up the past throw her into the path of a killer? As Annie gets closer to the truth, and closer to the danger, she starts to fear she might inherit her aunt’s fate instead of her fortune."
191,The Last Murder at the End of the World,Mystery,"Solve the murder to save what's left of the world.Outside the island there is nothing: the world was destroyed by a fog that swept the planet, killing anyone it touched.On the island: it is idyllic. One hundred and twenty-two villagers and three scientists, living in peaceful harmony. The villagers are content to fish, farm and feast, to obey their nightly curfew, to do what they're told by the scientists.Until, to the horror of the islanders, one of their beloved scientists is found brutally stabbed to death. And then they learn that the murder has triggered a lowering of the security system around the island, the only thing that was keeping the fog at bay. If the murder isn't solved within 107 hours, the fog will smother the island—and everyone on it.But the security system has also wiped everyone's memories of exactly what happened the night before, which means that someone on the island is a murderer—and they don't even know it.And the clock is ticking."
192,The Great Divide,Historical Fiction,"An epic novel of the construction of the Panama Canal, casting light on the unsung people who lived, loved, and labored there.It is said that the canal will be the greatest feat of engineering in history. But first, it must be built. For Francisco, a local fisherman who resents the foreign powers clamoring for a slice of his country, nothing is more upsetting than the decision of his son, Omar, to work as a digger in the excavation zone. But for Omar, whose upbringing was quiet and lonely, this job offers a chance to finally find connection.Ada Bunting is a bold sixteen-year-old from Barbados who arrives in Panama as a stowaway alongside thousands of other West Indians seeking work. Alone and with no resources, she is determined to find a job that will earn enough money for her ailing sister’s surgery. When she sees a young man—Omar—who has collapsed after a grueling shift, she is the only one who rushes to his aid.John Oswald has dedicated his life to scientific research and has journeyed to Panama in single-minded pursuit of one goal: eliminating malaria. But now, his wife, Marian, has fallen ill herself, and when he witnesses Ada’s bravery and compassion, he hires her on the spot as a caregiver. This fateful decision sets in motion a sweeping tale of ambition, loyalty, and sacrifice. Searing and empathetic, The Great Divide explores the intersecting lives of activists, fishmongers, laborers, journalists, neighbors, doctors, and soothsayers—those rarely acknowledged by history even as they carved out its course."
193,James,Historical Fiction,"A brilliant, action-packed reimagining of The Adventures of Huckleberry Finn , both harrowing and ferociously funny, told from the enslaved Jim's point of view.When the enslaved Jim overhears that he is about to be sold to a man in New Orleans, separated from his wife and daughter forever, he decides to hide on nearby Jackson Island until he can formulate a plan. Meanwhile, Huck Finn has faked his own death to escape his violent father, recently returned to town. As all readers of American literature know, thus begins the dangerous and transcendent journey by raft down the Mississippi River toward the elusive and too-often-unreliable promise of the Free States and beyond.While many narrative set pieces of The Adventures of Huckleberry Finn remain in place (floods and storms, stumbling across both unexpected death and unexpected treasure in the myriad stopping points along the river’s banks, encountering the scam artists posing as the Duke and Dauphin…), Jim’s agency, intelligence and compassion are shown in a radically new light."
194,Anita de Monte Laughs Last,Fiction,"Anita de Monte, a rising star in the art world, is found dead in New York City; her tragic death is the talk of the town. Until it isn’t. By 1998 Anita’s name has been all but forgotten—certainly by the time Raquel, a third-year art history student is preparing her final thesis. On College Hill, surrounded by privileged students whose futures are already paved out for them, Raquel feels like an outsider. Students of color, like her, are the minority there, and the pressure to work twice as hard for the same opportunities is no secret.But when Raquel becomes romantically involved with a well-connected older art student, she finds herself unexpectedly rising up the social ranks. As she attempts to straddle both worlds, she stumbles upon Anita’s story, raising questions about the dynamics of her own relationship, which eerily mirrors that of the forgotten artist.Moving back and forth through time and told from the perspectives of both women, Anita de Monte Laughs Last is a propulsive, witty examination of power, love, and art, daring to ask who gets to be remembered and who is left behind in the rarefied world of the elite."
195,Where Sleeping Girls Lie,Mystery,"It’s like I keep stumbling into a dark room, searching for the switch to make things bright again. To make me remember. But the switch isn’t there. Was it there before?Sade Hussein is starting her third year of high school, this time at the prestigious Alfred Nobel Academy boarding school. After being home-schooled all her life and feeling like a magnet for misfortune, she’s not sure what will happen. What she doesn’t expect though is for her roommate Elizabeth to disappear after Sade’s first night. Or for people to think she had something to do with it.With rumors swirling around her, Sade catches the attention of the most popular girls in school – collectively known as the ‘Unholy Trinity’ – and they bring her into their fold. Between learning more about them - especially Persephone, who Sade finds herself drawn to - playing catch-up in class, and trying to figure out what happened to Elizabeth, Sade has a lot on her plate. It doesn’t help that she’s already dealing with grief from the many tragedies in her family.And then a student is found dead.The more Sade investigates, the more she realizes there’s more to Alfred Nobel Academy and its students than she realized. Secrets lurk around every corner and beneath every surface…secrets that rival even her own."
196,Baby X,Science Fiction,"When any biological matter can be used to create life, stolen celebrity DNA sells to the highest bidder–or the craziest stalker–in this propulsive thriller.With a vivid imagining of the future, Gattaca meets The Ones in Kira Peikoff’s Baby X .In the near-future United States, where advanced technology can create egg or sperm from any person’s cells, celebrities face the alarming potential of meeting biological children they never conceived. Famous singer Trace Thorne is tired of being targeted by the Vault, a black market site devoted to stealing DNA. Sick of paying ransom money for his own cell matter, he hires bio-security guard Ember Ryan to ensure his biological safety.  Ember will do anything she can to protect her clients. She knows all the Vault’s tricks–discarded tissues, used straws, lipstick tubes–and has prevented countless DNA thefts. Working for Thorne, her focus becomes split when she begins to fall for him, but she knows she hasn’t let anything slip–love or not, his DNA is safe. But then she and Thorne are confronted by a pregnant woman, Quinn, who claims that Thorne is the father of her baby, and all bets are off.   Brilliantly plotted and terrifyingly prescient, Baby X is an unpredictable and relentless speculative thriller perfect for fans of Blake Crouch."
197,The Princess of Las Vegas,Mystery,"A Princess Diana impersonator and her estranged sister find themselves drawn into a dangerous game of money and murder in this twisting tale of organized crime, cryptocurrency, and family secrets on the Las Vegas strip.Crissy Dowling has created a world that suits her perfectly. She passes her days by the pool in a private cabana, she splurges on ice cream but never gains an ounce, and each evening she transforms into a Princess, performing her musical cabaret inspired by the life of the late Diana Spencer. Some might find her strange or even delusional, an American speaking with a British accent, hair feathered into a style thirty years old, living and working in a casino that has become a dated trash heap. On top of that, Crissy’s daily diet of Adderall and Valium leaves her more than a little tipsy, her Senator boyfriend has gone back to his wife, and her entire career rests on resembling a dead woman. And yet, fans see her for the gifted chameleon she is, showering her with gifts, letters, and standing ovations night after night. But when Crissy’s sister, Betsy, arrives in town with a new boyfriend and a teenage daughter, and when Richie Morley, the owner of the Buckingham Palace Casino, is savagely murdered, Crissy’s carefully constructed kingdom comes crashing down all around her. A riveting tale of identity, obsession, fintech, and high-tech mobsters, The Princess of Las Vegas is an addictive, wildly original thriller from one of our most extraordinary storytellers."
198,The Emperor and the Endless Palace,Fantasy,"In 1740, a lonely innkeeper agrees to help a mysterious visitor procure a rare medicine, only to unleash an otherworldly terror instead.And in present-day Los Angeles, a college student meets a beautiful stranger and cannot shake the feeling they’ve met before.Across these seemingly unrelated timelines woven together only by the twists and turns of fate, two men are reborn, lifetime after lifetime. Within the treacherous walls of an ancient palace and the boundless forests of the Asian wilderness to the heart-pounding cement floors of underground rave scenes, our lovers are inexplicably drawn to each other, constantly tested by the worlds around them.As their many lives intertwine, they begin to realize the power of their undying love—a power that transcends time itself…but one that might consume them both.An unpredictable roller coaster of a debut novel, The Emperor and the Endless Palace is a genre-bending romantasy that challenges everything we think we know about true love."
199,The Other Side of Disappearing,Romance,"Ever since their reckless mother ran off with a boyfriend she’d known only a few months, Jess has been aware that he’s the same accomplished con man who was the subject of a wildly popular podcast, The Last Con of Lynton Baltimore. Now thirty-one, Jess didn’t bargain on Tegan eventually piecing together the connection for herself. But Tegan plans to do exactly what Jess has always feared—leave their safe, stable home to search for their mother—and she’ll be accompanied by the prying podcast host and her watchful, handsome producer, Adam Hawkins. Unwilling to let the sister she’s spent so much of her life protecting go it alone, Jess reluctantly joins them. Together, the four make their way across the country, unraveling the mystery of where the couple disappeared to and why. But soon Jess is discovering other things too. Like a renewed sense of vulnerability and curiosity, and a willingness to expand beyond the walls she’s so carefully built. And in Adam, she finds an unexpected connection she didn’t even know was missing, if only she can let go and let him in . . ."
200,The Underground Library,Historical Fiction,"But can she show the men in charge that a woman is up to the task of running it, especially when a confrontation with her past threatens to derail her?Katie Upwood is thrilled to be working at the library, although she's only there until she heads off to university in the fall. But after the death of her beau on the front line and amid tumultuous family strife, she finds herself harboring a life-changing secret with no one to turn to for help.Sofie Baumann, a young Jewish refugee, came to London on a domestic service visa only to find herself working as a maid for a man who treats her abominably. She escapes to the library every chance she can, finding friendship in the literary community and aid in finding her sister, who is still trying to flee occupied Europe.When a slew of bombs destroy the library, Juliet relocates the stacks to the local Underground station where the city's residents shelter nightly, determined to lend out stories that will keep spirits up. But tragedy after tragedy threatens to unmoor the women and sever the ties of their community. Will Juliet, Kate, and Sofie be able to overcome their own troubles to save the library? Or will the beating heart of their neighborhood be lost forever?"
201,The Morningside,Fiction,"From the critically beloved, New York Times bestselling author of The Tiger's Wife and Inland, a magical novel of mothers and daughters, displacement and belonging, and myths both old and new.There’s the world you can see. And then there’s the one you can’t. Welcome to the Morningside.After being expelled from their ancestral home, Silvia and her mother finally settle at the Morningside, a crumbling luxury tower in Island City where Silvia’s aunt Ena serves as the superintendent. Silvia feels unmoored in her new life because her mother has been so diligently secretive about their family's past. Silvia knows almost nothing about the place where she was born and spent her early years, nor does she know why she and her mother had to leave. But in Ena there is an a person willing to give the young girl glimpses into the folktales of her demolished homeland, a place of natural beauty and communal spirit that is lacking in Silvia's lonely and impoverished reality.Enchanted by Ena’s stories, Silvia begins seeing the world with magical possibilities and becomes obsessed with the mysterious older woman who lives in the penthouse of the Morningside. Bezi Duras is an enigma to everyone in the building. She has her own elevator entrance and leaves only to go out at night and walk her three massive hounds, often not returning until the early morning. Silvia’s mission to unravel the truth about this woman’s life, and her own haunted past, may end up costing her everything.Startling, inventive, and profoundly moving, The Morningside is a novel about the stories we tell—and the stories we refuse to tell—to make sense of where we came from and who we hope we might become."
202,The Day Tripper,Time Travel,"It’s 1995, and Alex Dean has it all: a spot at Cambridge University next year, the love of an amazing woman named Holly and all the time in the world ahead of him. That is until a brutal encounter with a ghost from his past sees him beaten, battered and almost drowning in the Thames.He wakes the next day to find he’s in a messy, derelict room he’s never seen before, in grimy clothes he doesn’t recognize, with no idea of how he got there. A glimpse in the mirror tells him he’s older—much older—and has been living a hard life, his features ravaged by time and poor decisions. He snatches a newspaper and finds it’s 2010—fifteen years since the fight.After finally drifting off to sleep, Alex wakes the following morning to find it’s now 2019, another nine years later. But the next day, it’s 1999. Never knowing which day is coming, he begins to piece together what happens in his life after that fateful night by the river.But what exactly is going on? Why does his life look nothing like he thought it would? What about Cambridge, and Holly? In this thrilling adventure, Alex must navigate his way through the years to learn that small actions have untold impact. And that might be all he needs to save the people he loves and, equally importantly, himself."
203,If the Tide Turns,Historical Fiction,"1715, Eastham, Massachusetts: As the daughter of a wealthy family, Maria Brown has a secure future mapped out for her, yet it is not the future she wants. Young, headstrong, and restless, Maria has no desire to marry the aging, mean-spirited John Hallett, regardless of his fortune and her parents’ wishes. As for what Maria does want—only one person has ever even asked her that question.Samuel Bellamy, an orphaned sailor searching for work, meets Maria by chance, enthralling her with talk of far-flung places and blasphemous ideals. But neither is free from the social order into which they were born. When Sam is banished from Maria’s parents’ home after asking for her hand, he vows to return a wealthy man, and Maria promises to keep the faith until then.Sam is drawn into piracy and discovers a brotherhood more equal and fulfilling than any on land, despite its dangers. Beguiled by the chance to both fight for justice and make a fortune to bring home to Maria, Sam is torn between duty to his crew and his desire to return. Separated by more than just the ocean, time slips by as Sam and Maria cling to their love for each other. Maria is determined to stay strong in her conviction in Sam, but as rumors swirl and her position in Eastham turns perilous, Maria is forced into an impossible decision.Now, on a journey no less treacherous and eventful than Sam’s, Maria draws on every shred of her courage and resilience not merely to survive, but to honor her own yearning for freedom . . ."
204,Becoming Madam Secretary,Historical Fiction,"Raised on tales of her revolutionary ancestors, Frances Perkins arrives in New York City at the turn of the century, armed with her trusty parasol and an unyielding determination to make a difference.When she’s not working with children in the crowded tenements in Hell’s Kitchen, Frances throws herself into the social scene in Greenwich Village, befriending an eclectic group of politicians, artists, and activists, including the millionaire socialite Mary Harriman Rumsey, the flirtatious budding author Sinclair Lewis, and the brilliant but troubled reformer Paul Wilson, with whom she falls deeply in love.But when Frances meets a young lawyer named Franklin Delano Roosevelt at a tea dance, sparks fly in all the wrong directions. She thinks he’s a rich, arrogant dilettante who gets by on a handsome face and a famous name. He thinks she’s a priggish bluestocking and insufferable do-gooder. Neither knows it yet, but over the next twenty years, they will form a historic partnership that will carry them both to the White House.Frances is destined to rise in a political world dominated by men, facing down the Great Depression as FDR’s most trusted lieutenant—even as she struggles to balance the demands of a public career with marriage and motherhood. And when vicious political attacks mount and personal tragedies threaten to derail her ambitions, she must decide what she’s willing to do—and what she’s willing to sacrifice—to save a nation."
205,The Housemaid's Secret,Thriller,"As he continues showing me their incredible penthouse apartment, I have a terrible feeling about the woman behind closed doors. But I can't risk losing this job – not if I want to keep my darkest secret safe . . .It's hard to find an employer who doesn't ask too many questions about my past. So I thank my lucky stars that the Garricks miraculously give me a job, cleaning their stunning penthouse with views across the city and preparing fancy meals in their shiny kitchen. I can work here for a while, stay quiet until I get what I want. It's almost perfect. But I still haven't met Mrs Garrick, or seen inside the guest bedroom. I'm sure I hear her crying. I notice spots of blood around the neck of her white nightgowns when I'm doing laundry. And one day I can't help but knock on the door. When it gently swings open, what I see inside changes everything...That's when I make a promise. After all, I've done this before. I can protect Mrs. Garrick while keeping my own secrets locked up safe. Douglas Garrick has done wrong. He is going to pay. It's simply a question of how far I'm willing to go..."
206,Happy Place,Romance,"Except, now—for reasons they’re still not discussing—they don’t.They broke up six months ago. And still haven’t told their best friends.Which is how they find themselves sharing the largest bedroom at the Maine cottage that has been their friend group’s yearly getaway for the last decade. Their annual respite from the world, where for one vibrant, blue week they leave behind their daily lives; have copious amounts of cheese, wine, and seafood; and soak up the salty coastal air with the people who understand them most.Only this year, Harriet and Wyn are lying through their teeth while trying not to notice how desperately they still want each other. Because the cottage is for sale and this is the last week they’ll all have together in this place. They can’t stand to break their friends’ hearts, and so they’ll play their parts. Harriet will be the driven surgical resident who never starts a fight, and Wyn will be the laid-back charmer who never lets the cracks show. It’s a flawless plan (if you look at it from a great distance and through a pair of sunscreen-smeared sunglasses). After years of being in love, how hard can it be to fake it for one week… in front of those who know you best?A couple who broke up months ago make a pact to pretend to still be together for their annual weeklong vacation with their best friends in this glittering and wise new novel from #1 New York Times bestselling author Emily Henry."
207,The Inmate,Thriller,"There are three rules Brooke Sullivan must follow as a new nurse practitioner at a men's maximum-security 1) Treat all prisoners with respect. 2) Never reveal any personal information. 3) Never EVER become too friendly with the inmates. But none of the staff at the prison knows Brooke has already broken the rules. Nobody knows about her intimate connection to Shane Nelson, one of the penitentiary's most notorious and dangerous inmates. And they certainly don't know that Shane was Brooke's high school sweetheart―the star quarterback who is now spending the rest of his life in prison for a series of grisly murders. Or that Brooke's testimony was what put him there. But Shane knows. And he will never forget."
208,Lessons in Chemistry,Fiction,"#1 NEW YORK TIMES BESTSELLER • GOODREADS CHOICE AWARD WINNER • Meet Elizabeth Zott: a “formidable, unapologetic and inspiring” (PARADE) scientist in 1960s California whose career takes a detour when she becomes the unlikely star of a beloved TV cooking show in this novel that is “irresistible, satisfying and full of fuel” (The New York Times Book Review) and “witty, sometimes hilarious . . . the Catch-22 of early feminism.” (Stephen King, via Twitter)A BEST BOOK OF THE YEAR: The New York Times, Washington Post, NPR, Oprah Daily, Entertainment Weekly, Newsweek“The most delightful novel I read this year . . . fresh and surprising . . . I laughed out loud!” —Philip Galanes, The New York Times“A unique heroine . . . you’ll find yourself wishing she wasn’t fictional.” —Seattle TimesChemist Elizabeth Zott is not your average woman. In fact, Elizabeth Zott would be the first to point out that there is no such thing as an average woman. But it’s the early 1960s and her all-male team at Hastings Research Institute takes a very unscientific view of equality. Except for one: Calvin Evans; the lonely, brilliant, Nobel–prize nominated grudge-holder who falls in love with—of all things—her mind. True chemistry results. But like science, life is unpredictable. Which is why a few years later Elizabeth Zott finds herself not only a single mother, but the reluctant star of America’s most beloved cooking show Supper at Six. Elizabeth’s unusual approach to cooking (“combine one tablespoon acetic acid with a pinch of sodium chloride”) proves revolutionary. But as her following grows, not everyone is happy. Because as it turns out, Elizabeth Zott isn’t just teaching women to cook. She’s daring them to change the status quo. Laugh-out-loud funny, shrewdly observant, and studded with a dazzling cast of supporting characters, Lessons in Chemistry is as original and vibrant as its protagonist."
209,The Midnight Library,Fiction,"Every book provides a chance to try another life you could have lived. To see how things would be if you had made other choices . . . Would you have done anything different, if you had the chance to undo your regrets? A novel about all the choices that go into a life well lived.Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality. One tells the story of your life as it is, along with another book for the other life you could have lived if you had made a different choice at any point in your life. While we all wonder how our lives might have been, what if you had the chance to go to the library and see for yourself? Would any of these other lives truly be better?Nora Seed finds herself faced with this decision. Faced with the possibility of changing her life for a new one, following a different career, undoing old breakups, realizing her dreams of becoming a glaciologist; she must search within herself as she travels through the Midnight Library to decide what is truly fulfilling in life, and what makes it worth living in the first place."
210,Reminders of Him,Fiction,"After serving five years in prison for a tragic mistake, Kenna Rowan returns to the town where it all went wrong, hoping to reunite with her four-year-old daughter. But the bridges Kenna burned are proving impossible to rebuild. Everyone in her daughter’s life is determined to shut Kenna out, no matter how hard she works to prove herself. The only person who hasn’t closed the door on her completely is Ledger Ward, a local bar owner and one of the few remaining links to Kenna’s daughter. But if anyone were to discover how Ledger is slowly becoming an important part of Kenna’s life, both would risk losing the trust of everyone important to them. The two form a connection despite the pressure surrounding them, but as their romance grows, so does the risk. Kenna must find a way to absolve the mistakes of her past in order to build a future out of hope and healing."
211,Yellowface,Fiction,"Dark humor. Deadly consequences… Bestselling sensation Juniper Song is not who she says she is, she didn’t write the book she claims she wrote, and she is most certainly not Asian American—in this chilling and hilariously cutting novel from R.F. Kuang, the #1 New York Times bestselling author of Babel. Authors June Hayward and Athena Liu were supposed to be twin rising stars. But Athena’s a literary darling. June Hayward is literally nobody. Who wants stories about basic white girls, June thinks.So when June witnesses Athena’s death in a freak accident, she acts on impulse: she steals Athena’s just-finished masterpiece, an experimental novel about the unsung contributions of Chinese laborers during World War I.So what if June edits Athena’s novel and sends it to her agent as her own work? So what if she lets her new publisher rebrand her as Juniper Song—complete with an ambiguously ethnic author photo? Doesn’t this piece of history deserve to be told, whoever the teller? That’s what June claims, and the New York Times bestseller list seems to agree.But June can’t get away from Athena’s shadow, and emerging evidence threatens to bring June’s (stolen) success down around her. As June races to protect her secret, she discovers exactly how far she will go to keep what she thinks she deserves.With its totally immersive first-person voice, Yellowface grapples with questions of diversity, racism, and cultural appropriation, as well as the terrifying alienation of social media. R.F. Kuang’s novel is timely, razor-sharp, and eminently readable."
212,Remarkably Bright Creatures,Fiction,"After Tova Sullivan's husband died, she began working the night shift at the Sowell Bay Aquarium, mopping floors and tidying up. Keeping busy has always helped her cope, which she's been doing since her eighteen-year-old son, Erik, mysteriously vanished on a boat in Puget Sound over thirty years ago.Tova becomes acquainted with curmudgeonly Marcellus, a giant Pacific octopus living at the aquarium. Marcellus knows more than anyone can imagine but wouldn't dream of lifting one of his eight arms for his human captors--until he forms a remarkable friendship with Tova.Ever the detective, Marcellus deduces what happened the night Tova's son disappeared. And now Marcellus must use every trick his old invertebrate body can muster to unearth the truth for her before it's too late.Shelby Van Pelt's debut novel is a gentle reminder that sometimes taking a hard look at the past can help uncover a future that once felt impossible."
213,One by One,Thriller,"One by one, they will get what they deserve...A night spent sleeping on dirt and leaves is not how Claire Matchett expected to spend her vacation.She thought this would be a break from the stresses of work and raising her young children. A chance to repair her damaged marriage. A week of hiking and hot tubs with two other couple friends. It sounded like heaven.Then Claire’s minivan breaks down on a lonely dirt road. With no cell reception, the group has no choice but to hike the rest of the way to their hotel. But it turns out the woods aren’t as easy to navigate as they thought.Hours later, they are lost. Hopelessly lost. And as they navigate deeper into the woods, the members of their party are struck down mysteriously one by one. Has a wild animal been hunting them? Or is the hunter one of them?But as more time passes, one thing becomes clear:Only one of them will return home alive."
214,Daisy Jones & The Six,Fiction,"Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go Go. The sex and drugs are thrilling, but it’s the rock ’n’ roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.Also getting noticed is The Six, a band led by the brooding Billy Dunne. On the eve of their first tour, his girlfriend Camila finds out she’s pregnant, and with the pressure of impending fatherhood and fame, Billy goes a little wild on the road.Daisy and Billy cross paths when a producer realizes that the key to supercharged success is to put the two together. What happens next will become the stuff of legend.The making of that legend is chronicled in this riveting and unforgettable novel, written as an oral history of one of the biggest bands of the seventies. Taylor Jenkins Reid is a talented writer who takes her work to a new level with Daisy Jones & The Six, brilliantly capturing a place and time in an utterly distinctive voice."
215,Listen for the Lie,Mystery,"Lucy and Savvy were the golden girls of their small Texas town: pretty, smart, and enviable. Lucy married a dream guy with a big ring and an even bigger new home. Savvy was the social butterfly loved by all, and if you believe the rumors, especially popular with the men in town. It’s been years since that horrible night, a night Lucy can’t remember anything about, and she has since moved to LA and started a new life.But now the phenomenally huge hit true crime podcast ""Listen for the Lie,"" and its too-good looking host Ben Owens, have decided to investigate Savvy’s murder for the show’s second season. Lucy is forced to return to the place she vowed never to set foot in again to solve her friend’s murder, even if she is the one that did it."
216,The Guest List,Mystery,"A wedding celebration turns dark and deadly in this deliciously wicked and atmospheric thriller reminiscent of Agatha Christie from the New York Times bestselling author of The Hunting Party.The bride – The plus one – The best man – The wedding planner – The bridesmaid – The bodyOn an island off the coast of Ireland, guests gather to celebrate two people joining their lives together as one. The groom: handsome and charming, a rising television star. The bride: smart and ambitious, a magazine publisher. It’s a wedding for a magazine, or for a celebrity: the designer dress, the remote location, the luxe party favors, the boutique whiskey. The cell phone service may be spotty and the waves may be rough, but every detail has been expertly planned and will be expertly executed.But perfection is for plans, and people are all too human. As the champagne is popped and the festivities begin, resentments and petty jealousies begin to mingle with the reminiscences and well wishes. The groomsmen begin the drinking game from their school days. The bridesmaid not-so-accidentally ruins her dress. The bride’s oldest (male) friend gives an uncomfortably caring toast.And then someone turns up dead. Who didn’t wish the happy couple well? And perhaps more important, why?"
217,"Good Girl, Bad Blood",Mystery,"Pip is not a detective anymore.With the help of Ravi Singh, she released a true-crime podcast about the murder case they solved together last year. The podcast has gone viral, yet Pip insists her investigating days are behind her.But she will have to break that promise when someone she knows goes missing. Jamie Reynolds has disappeared, on the very same night the town hosted a memorial for the sixth-year anniversary of the deaths of Andie Bell and Sal Singh.The police won't do anything about it. And if they won't look for Jamie then Pip will, uncovering more of her town's dark secrets along the way... and this time everyone is listening. But will she find him before it's too late?"
218,Ward D,Thriller,"Amy has been dreading her evening working on Ward D, the hospital’s inpatient mental health unit. There are very specific reasons why she never wanted to do this required overnight rotation. Reasons nobody can ever find out.And as the hours tick by, Amy grows increasingly convinced something terrible is happening within these tightly secured walls. When patients and staff start to vanish without a trace, it becomes clear that everyone on the unit is in grave danger.Amy’s worst nightmare was spending the night on Ward D.And now she might never escape."
219,Ask for Andrea,Thriller,"James Carson has gotten away with murder three times.The only thing that might stop him from killing again? The three women he murdered.He hunted them online, masquerading as an eligible bachelor. Then he played the perfect gentleman, a thick layer of charm and a thousand-watt smile hiding the fact that his first dates end in shallow graves.What James doesn’t know is that his three victims have found each other. And that they're coming for him.Brecia, Meghan, and Skye might be dead, but they’re not gone. And they won’t rest until they find a way to keep him from killing again.The haunt is on."
220,1984,Classics,A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality With a foreword by Thomas Pynchon With a foreword by Thomas Pynchon A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching View our feature on George Orwell s 1984 Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasionAlternate cover edition can be found here.
221,To Kill a Mockingbird,Classics,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature."
222,The Great Gatsby,Classics,"Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(from the back cover)"
223,Animal Farm,Classics,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh."
